Tue, 20 Dec 2016 16:52:01 base.py[line:111] INFO Scan ORMapping Tyre...
Tue, 20 Dec 2016 16:52:01 base.py[line:121] INFO [ Mapping ] Found mapping: itemId => <StringField:itemId, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:04:38 base.py[line:121] INFO [ Mapping ] Found mapping: rat => <StringField:rat, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:04:38 base.py[line:121] INFO [ Mapping ] Found mapping: rim => <StringField:rim, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:04:38 base.py[line:121] INFO [ Mapping ] Found mapping: speed => <StringField:speed, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:04:38 base.py[line:121] INFO [ Mapping ] Found mapping: createTime => <LongField:createTime, <type 'float'>, default(0), UI>
Tue, 20 Dec 2016 17:07:06 base.py[line:111] INFO Scan ORMapping Tyre...
Tue, 20 Dec 2016 17:07:06 base.py[line:121] INFO [ Mapping ] Found mapping: itemId => <StringField:itemId, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:07:06 base.py[line:121] INFO [ Mapping ] Found mapping: name => <StringField:name, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:07:06 base.py[line:121] INFO [ Mapping ] Found mapping: source => <StringField:source, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:07:06 base.py[line:121] INFO [ Mapping ] Found mapping: url => <StringField:url, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:07:06 base.py[line:121] INFO [ Mapping ] Found mapping: pattern => <StringField:pattern, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:07:06 base.py[line:121] INFO [ Mapping ] Found mapping: price => <FloatField:price, <type 'float'>, default(0.0), UI>
Tue, 20 Dec 2016 17:07:06 base.py[line:121] INFO [ Mapping ] Found mapping: updateTime => <LongField:updateTime, <type 'float'>, default(0), UI>
Tue, 20 Dec 2016 17:07:06 base.py[line:121] INFO [ Mapping ] Found mapping: specs => <StringField:specs, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:07:06 base.py[line:121] INFO [ Mapping ] Found mapping: width => <StringField:width, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:07:06 base.py[line:121] INFO [ Mapping ] Found mapping: rat => <StringField:rat, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:07:06 base.py[line:121] INFO [ Mapping ] Found mapping: rim => <StringField:rim, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:07:06 base.py[line:121] INFO [ Mapping ] Found mapping: speed => <StringField:speed, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:07:06 base.py[line:121] INFO [ Mapping ] Found mapping: createTime => <LongField:createTime, <type 'float'>, default(0), UI>
Tue, 20 Dec 2016 17:11:42 base.py[line:111] INFO Scan ORMapping Tyre...
Tue, 20 Dec 2016 17:11:42 base.py[line:121] INFO [ Mapping ] Found mapping: itemId => <StringField:itemId, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:11:42 base.py[line:121] INFO [ Mapping ] Found mapping: name => <StringField:name, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:11:42 base.py[line:121] INFO [ Mapping ] Found mapping: source => <StringField:source, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:11:42 base.py[line:121] INFO [ Mapping ] Found mapping: url => <StringField:url, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:11:42 base.py[line:121] INFO [ Mapping ] Found mapping: pattern => <StringField:pattern, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:11:42 base.py[line:121] INFO [ Mapping ] Found mapping: price => <FloatField:price, <type 'float'>, default(0.0), UI>
Tue, 20 Dec 2016 17:11:42 base.py[line:121] INFO [ Mapping ] Found mapping: updateTime => <LongField:updateTime, <type 'float'>, default(0), UI>
Tue, 20 Dec 2016 17:11:42 base.py[line:121] INFO [ Mapping ] Found mapping: specs => <StringField:specs, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:11:42 base.py[line:121] INFO [ Mapping ] Found mapping: width => <StringField:width, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:11:42 base.py[line:121] INFO [ Mapping ] Found mapping: rat => <StringField:rat, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:11:42 base.py[line:121] INFO [ Mapping ] Found mapping: rim => <StringField:rim, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:11:42 base.py[line:121] INFO [ Mapping ] Found mapping: speed => <StringField:speed, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:11:42 base.py[line:121] INFO [ Mapping ] Found mapping: createTime => <LongField:createTime, <type 'float'>, default(0), UI>
Tue, 20 Dec 2016 17:12:22 base.py[line:111] INFO Scan ORMapping Tyre...
Tue, 20 Dec 2016 17:12:22 base.py[line:121] INFO [ Mapping ] Found mapping: itemId => <StringField:itemId, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:12:22 base.py[line:121] INFO [ Mapping ] Found mapping: name => <StringField:name, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:12:22 base.py[line:121] INFO [ Mapping ] Found mapping: source => <StringField:source, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:12:22 base.py[line:121] INFO [ Mapping ] Found mapping: url => <StringField:url, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:12:22 base.py[line:121] INFO [ Mapping ] Found mapping: pattern => <StringField:pattern, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:12:22 base.py[line:121] INFO [ Mapping ] Found mapping: price => <FloatField:price, <type 'float'>, default(0.0), UI>
Tue, 20 Dec 2016 17:12:22 base.py[line:121] INFO [ Mapping ] Found mapping: updateTime => <LongField:updateTime, <type 'float'>, default(0), UI>
Tue, 20 Dec 2016 17:12:22 base.py[line:121] INFO [ Mapping ] Found mapping: specs => <StringField:specs, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:12:22 base.py[line:121] INFO [ Mapping ] Found mapping: width => <StringField:width, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:12:22 base.py[line:121] INFO [ Mapping ] Found mapping: rat => <StringField:rat, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:12:22 base.py[line:121] INFO [ Mapping ] Found mapping: rim => <StringField:rim, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:12:22 base.py[line:121] INFO [ Mapping ] Found mapping: speed => <StringField:speed, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:12:22 base.py[line:121] INFO [ Mapping ] Found mapping: createTime => <LongField:createTime, <type 'float'>, default(0), UI>
Tue, 20 Dec 2016 17:16:20 base.py[line:111] INFO Scan ORMapping Tyre...
Tue, 20 Dec 2016 17:16:20 base.py[line:121] INFO [ Mapping ] Found mapping: itemId => <StringField:itemId, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:16:20 base.py[line:121] INFO [ Mapping ] Found mapping: name => <StringField:name, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:16:20 base.py[line:121] INFO [ Mapping ] Found mapping: source => <StringField:source, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:16:20 base.py[line:121] INFO [ Mapping ] Found mapping: url => <StringField:url, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:16:20 base.py[line:121] INFO [ Mapping ] Found mapping: pattern => <StringField:pattern, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:16:20 base.py[line:121] INFO [ Mapping ] Found mapping: price => <FloatField:price, <type 'float'>, default(0.0), UI>
Tue, 20 Dec 2016 17:16:20 base.py[line:121] INFO [ Mapping ] Found mapping: updateTime => <LongField:updateTime, <type 'float'>, default(0), UI>
Tue, 20 Dec 2016 17:16:20 base.py[line:121] INFO [ Mapping ] Found mapping: specs => <StringField:specs, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:16:20 base.py[line:121] INFO [ Mapping ] Found mapping: width => <StringField:width, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:16:20 base.py[line:121] INFO [ Mapping ] Found mapping: rat => <StringField:rat, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:16:20 base.py[line:121] INFO [ Mapping ] Found mapping: rim => <StringField:rim, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:16:20 base.py[line:121] INFO [ Mapping ] Found mapping: speed => <StringField:speed, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:16:20 base.py[line:121] INFO [ Mapping ] Found mapping: createTime => <LongField:createTime, <type 'float'>, default(0), UI>
Tue, 20 Dec 2016 17:28:22 base.py[line:111] INFO Scan ORMapping Tyre...
Tue, 20 Dec 2016 17:28:22 base.py[line:121] INFO [ Mapping ] Found mapping: itemId => <StringField:itemId, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:28:22 base.py[line:121] INFO [ Mapping ] Found mapping: name => <StringField:name, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:28:22 base.py[line:121] INFO [ Mapping ] Found mapping: source => <StringField:source, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:28:22 base.py[line:121] INFO [ Mapping ] Found mapping: url => <StringField:url, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:28:22 base.py[line:121] INFO [ Mapping ] Found mapping: pattern => <StringField:pattern, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:28:22 base.py[line:121] INFO [ Mapping ] Found mapping: price => <FloatField:price, <type 'float'>, default(0.0), UI>
Tue, 20 Dec 2016 17:28:22 base.py[line:121] INFO [ Mapping ] Found mapping: updateTime => <LongField:updateTime, <type 'float'>, default(0), UI>
Tue, 20 Dec 2016 17:28:22 base.py[line:121] INFO [ Mapping ] Found mapping: specs => <StringField:specs, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:28:22 base.py[line:121] INFO [ Mapping ] Found mapping: width => <StringField:width, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:28:22 base.py[line:121] INFO [ Mapping ] Found mapping: rat => <StringField:rat, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:28:22 base.py[line:121] INFO [ Mapping ] Found mapping: rim => <StringField:rim, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:28:22 base.py[line:121] INFO [ Mapping ] Found mapping: speed => <StringField:speed, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:28:22 base.py[line:121] INFO [ Mapping ] Found mapping: createTime => <LongField:createTime, <type 'float'>, default(0), UI>
Tue, 20 Dec 2016 17:28:56 base.py[line:111] INFO Scan ORMapping Tyre...
Tue, 20 Dec 2016 17:28:56 base.py[line:121] INFO [ Mapping ] Found mapping: itemId => <StringField:itemId, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:28:56 base.py[line:121] INFO [ Mapping ] Found mapping: name => <StringField:name, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:28:56 base.py[line:121] INFO [ Mapping ] Found mapping: source => <StringField:source, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:28:56 base.py[line:121] INFO [ Mapping ] Found mapping: url => <StringField:url, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:28:56 base.py[line:121] INFO [ Mapping ] Found mapping: pattern => <StringField:pattern, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:28:56 base.py[line:121] INFO [ Mapping ] Found mapping: price => <FloatField:price, <type 'float'>, default(0.0), UI>
Tue, 20 Dec 2016 17:28:56 base.py[line:121] INFO [ Mapping ] Found mapping: updateTime => <LongField:updateTime, <type 'float'>, default(0), UI>
Tue, 20 Dec 2016 17:28:56 base.py[line:121] INFO [ Mapping ] Found mapping: specs => <StringField:specs, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:28:56 base.py[line:121] INFO [ Mapping ] Found mapping: width => <StringField:width, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:28:56 base.py[line:121] INFO [ Mapping ] Found mapping: rat => <StringField:rat, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:28:56 base.py[line:121] INFO [ Mapping ] Found mapping: rim => <StringField:rim, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:28:56 base.py[line:121] INFO [ Mapping ] Found mapping: speed => <StringField:speed, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:28:56 base.py[line:121] INFO [ Mapping ] Found mapping: createTime => <LongField:createTime, <type 'float'>, default(0), UI>
Tue, 20 Dec 2016 17:48:37 base.py[line:111] INFO Scan ORMapping Tyre...
Tue, 20 Dec 2016 17:48:37 base.py[line:121] INFO [ Mapping ] Found mapping: itemId => <StringField:itemId, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:48:37 base.py[line:121] INFO [ Mapping ] Found mapping: name => <StringField:name, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:48:37 base.py[line:121] INFO [ Mapping ] Found mapping: source => <StringField:source, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:48:37 base.py[line:121] INFO [ Mapping ] Found mapping: url => <StringField:url, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:48:37 base.py[line:121] INFO [ Mapping ] Found mapping: pattern => <StringField:pattern, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:48:37 base.py[line:121] INFO [ Mapping ] Found mapping: price => <FloatField:price, <type 'float'>, default(0.0), UI>
Tue, 20 Dec 2016 17:48:37 base.py[line:121] INFO [ Mapping ] Found mapping: updateTime => <LongField:updateTime, <type 'float'>, default(0), UI>
Tue, 20 Dec 2016 17:48:37 base.py[line:121] INFO [ Mapping ] Found mapping: specs => <StringField:specs, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:48:37 base.py[line:121] INFO [ Mapping ] Found mapping: width => <StringField:width, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:48:37 base.py[line:121] INFO [ Mapping ] Found mapping: rat => <StringField:rat, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:48:37 base.py[line:121] INFO [ Mapping ] Found mapping: rim => <StringField:rim, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:48:37 base.py[line:121] INFO [ Mapping ] Found mapping: speed => <StringField:speed, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:48:37 base.py[line:121] INFO [ Mapping ] Found mapping: createTime => <LongField:createTime, <type 'float'>, default(0), UI>
Tue, 20 Dec 2016 17:48:57 base.py[line:111] INFO Scan ORMapping Tyre...
Tue, 20 Dec 2016 17:48:57 base.py[line:121] INFO [ Mapping ] Found mapping: itemId => <StringField:itemId, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:48:57 base.py[line:121] INFO [ Mapping ] Found mapping: name => <StringField:name, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:48:57 base.py[line:121] INFO [ Mapping ] Found mapping: source => <StringField:source, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:48:57 base.py[line:121] INFO [ Mapping ] Found mapping: url => <StringField:url, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:48:57 base.py[line:121] INFO [ Mapping ] Found mapping: pattern => <StringField:pattern, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:48:57 base.py[line:121] INFO [ Mapping ] Found mapping: price => <FloatField:price, <type 'float'>, default(0.0), UI>
Tue, 20 Dec 2016 17:48:57 base.py[line:121] INFO [ Mapping ] Found mapping: updateTime => <LongField:updateTime, <type 'float'>, default(0), UI>
Tue, 20 Dec 2016 17:48:57 base.py[line:121] INFO [ Mapping ] Found mapping: specs => <StringField:specs, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:48:57 base.py[line:121] INFO [ Mapping ] Found mapping: width => <StringField:width, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:48:57 base.py[line:121] INFO [ Mapping ] Found mapping: rat => <StringField:rat, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:48:57 base.py[line:121] INFO [ Mapping ] Found mapping: rim => <StringField:rim, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:48:57 base.py[line:121] INFO [ Mapping ] Found mapping: speed => <StringField:speed, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:48:57 base.py[line:121] INFO [ Mapping ] Found mapping: createTime => <LongField:createTime, <type 'float'>, default(0), UI>
Tue, 20 Dec 2016 17:49:10 base.py[line:111] INFO Scan ORMapping Tyre...
Tue, 20 Dec 2016 17:49:10 base.py[line:121] INFO [ Mapping ] Found mapping: itemId => <StringField:itemId, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:49:10 base.py[line:121] INFO [ Mapping ] Found mapping: name => <StringField:name, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:49:10 base.py[line:121] INFO [ Mapping ] Found mapping: source => <StringField:source, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:49:10 base.py[line:121] INFO [ Mapping ] Found mapping: url => <StringField:url, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:49:10 base.py[line:121] INFO [ Mapping ] Found mapping: pattern => <StringField:pattern, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:49:10 base.py[line:121] INFO [ Mapping ] Found mapping: price => <FloatField:price, <type 'float'>, default(0.0), UI>
Tue, 20 Dec 2016 17:49:10 base.py[line:121] INFO [ Mapping ] Found mapping: updateTime => <LongField:updateTime, <type 'float'>, default(0), UI>
Tue, 20 Dec 2016 17:49:10 base.py[line:121] INFO [ Mapping ] Found mapping: specs => <StringField:specs, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:49:10 base.py[line:121] INFO [ Mapping ] Found mapping: width => <StringField:width, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:49:10 base.py[line:121] INFO [ Mapping ] Found mapping: rat => <StringField:rat, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:49:10 base.py[line:121] INFO [ Mapping ] Found mapping: rim => <StringField:rim, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:49:10 base.py[line:121] INFO [ Mapping ] Found mapping: speed => <StringField:speed, <type 'str'>, default(), UI>
Tue, 20 Dec 2016 17:49:10 base.py[line:121] INFO [ Mapping ] Found mapping: createTime => <LongField:createTime, <type 'float'>, default(0), UI>
